OBJECTID	DATEOFCHNG	KANTONSNR	KANTONSNAM	KUERZEL	UUID
1	Sat Jan 01 2005 00:00:00 GMT+0100 (CET)	1	ZÃ¼rich	ZH	{4F62BF0A-7F7C-4D4C-A93D-BCA7DB003B69}
2	Sat Jan 01 2005 00:00:00 GMT+0100 (CET)	2	Bern	BE	{9D67B6EC-1272-4802-B14F-3C1052379BC9}
3	Sat Jan 01 2005 00:00:00 GMT+0100 (CET)	3	Luzern	LU	{6F2255A7-E47A-47AE-BD2C-8A1DA5212347}
4	Sat Jan 01 2005 00:00:00 GMT+0100 (CET)	4	Uri	UR	{6B27BC1E-95C2-4A2F-B5F2-2B1D3DACDC0F}
5	Sat Jan 01 2005 00:00:00 GMT+0100 (CET)	5	Schwyz	SZ	{E9D00F6A-3A83-4E6C-8667-1E4E6C15A6CB}
6	Sat Jan 01 2005 00:00:00 GMT+0100 (CET)	6	Obwalden	OW	{55C6DBC0-2B9F-4707-9CDC-F07910F1D0EF}
7	Sat Jan 01 2005 00:00:00 GMT+0100 (CET)	7	Nidwalden	NW	{5475617B-343A-4EC6-824A-01EAA6D12ABA}
8	Sat Jan 01 2005 00:00:00 GMT+0100 (CET)	8	Glarus	GL	{889C04BA-0A19-491A-BF1E-E1034E209ABC}
9	Sat Jan 01 2005 00:00:00 GMT+0100 (CET)	9	Zug	ZG	{C6D49375-E2F4-4506-92E3-30300F50C694}
10	Sat Jan 01 2005 00:00:00 GMT+0100 (CET)	10	Fribourg	FR	{CBF59F20-5CC2-4640-B979-09E93D6F781A}
11	Sat Jan 01 2005 00:00:00 GMT+0100 (CET)	11	Solothurn	SO	{1F89E38D-3429-4B07-84E5-01F36BAEB372}
12	Sat Jan 01 2005 00:00:00 GMT+0100 (CET)	12	Basel-Stadt	BS	{203A7079-11C5-4349-BB95-ADA694A651E1}
13	Sat Jan 01 2005 00:00:00 GMT+0100 (CET)	13	Basel-Landschaft	BL	{26C8A0DC-F1D1-4B35-A557-232B6B6DE16D}
14	Sat Jan 01 2005 00:00:00 GMT+0100 (CET)	14	Schaffhausen	SH	{D49C33FF-DCD9-4BF5-B499-B22E182324E0}
15	Sat Jan 01 2005 00:00:00 GMT+0100 (CET)	15	Appenzell Ausserrhoden	AR	{5FF3DD4A-3138-4D5C-921A-81FEE93F010C}
16	Sat Jan 01 2005 00:00:00 GMT+0100 (CET)	16	Appenzell Innerrhoden	AI	{1A4FD1C3-3A19-4212-8409-048CA79F7107}
17	Sat Jan 01 2005 00:00:00 GMT+0100 (CET)	17	St. Gallen	SG	{2698ED0D-2447-4E4D-A246-EC66052A43CE}
18	Sat Jan 01 2005 00:00:00 GMT+0100 (CET)	18	GraubÃ¼nden	GR	{71E4537D-F399-4E27-8F4B-925466D4D9F9}
19	Sat Jan 01 2005 00:00:00 GMT+0100 (CET)	19	Aargau	AG	{9346B1D2-171A-47E1-856D-9C8CED296590}
20	Sat Jan 01 2005 00:00:00 GMT+0100 (CET)	20	Thurgau	TG	{D50711B2-B3C7-4A7C-A39E-E342BCFAFE38}
21	Sat Jan 01 2005 00:00:00 GMT+0100 (CET)	21	Ticino	TI	{B25981DD-8322-44C7-AF29-D9D4A2B5FC99}
22	Sat Jan 01 2005 00:00:00 GMT+0100 (CET)	22	Vaud	VD	{52FF7899-188D-47E6-8624-A846DCA0AAF7}
23	Sat Jan 01 2005 00:00:00 GMT+0100 (CET)	23	Valais	VS	{AA2DE7A2-CE8C-4FF1-BCE7-06A0C99B37DE}
24	Sat Jan 01 2005 00:00:00 GMT+0100 (CET)	24	NeuchÃ¢tel	NE	{8F448A02-31A9-4248-BAC5-90312F865B7B}
25	Sat Jan 01 2005 00:00:00 GMT+0100 (CET)	25	GenÃ¨ve	GE	{C567C4FA-2397-4A17-8FDB-7AB2B23BD90D}
26	Sat Jan 01 2005 00:00:00 GMT+0100 (CET)	26	Jura	JU	{BFBBF4BF-015A-46E6-86A3-417E4E5A2524}
27	Thu Mar 19 2009 00:00:00 GMT+0100 (CET)	40007	Tirol	AT	{321B34A1-776E-4D2D-B75E-41086D666AAE}
28	Thu Mar 19 2009 00:00:00 GMT+0100 (CET)	40008	Vorarlberg	AT	{EB969963-FDA4-4A5D-BB21-23BB1CB3227D}
29	Thu Mar 19 2009 00:00:00 GMT+0100 (CET)	276008	Baden-WÃ¼rttemberg	DE	{80DE7DA7-CB60-40AB-A885-4DE981E309F0}
30	Thu Mar 19 2009 00:00:00 GMT+0100 (CET)	276009	Bayern	DE	{27D44F94-C48F-4407-A258-7FCDB4852984}
31	Thu Mar 19 2009 00:00:00 GMT+0100 (CET)	250021	Champagne-Ardenne	FR	{E16228C2-D7A5-4449-9524-670938B471E3}
32	Thu Mar 19 2009 00:00:00 GMT+0100 (CET)	250041	Lorraine	FR	{AEC9536B-7E78-48AD-8F11-DB6029D759EF}
33	Thu Mar 19 2009 00:00:00 GMT+0100 (CET)	250042	Alsace	FR	{DA086618-849A-4371-8D66-FD3A16D775BF}
34	Thu Mar 19 2009 00:00:00 GMT+0100 (CET)	250043	Franche-ComtÃ©	FR	{1AB5877D-40B4-4B35-A57A-434D148F1F7D}
35	Thu Mar 19 2009 00:00:00 GMT+0100 (CET)	250082	RhÃ´ne-Alpes	FR	{F5CEBEFF-D095-4766-A703-1337CEE35D68}
36	Thu Mar 19 2009 00:00:00 GMT+0100 (CET)	380101	Piemonte	IT	{90136706-DFEE-49E3-81D1-9BE51C9EF553}
37	Thu Mar 19 2009 00:00:00 GMT+0100 (CET)	380102	Valle d'Aosta	IT	{A14915E3-8E7B-4B87-AAA1-E0D8EE0AC5D4}
38	Thu Mar 19 2009 00:00:00 GMT+0100 (CET)	380103	Lombardia	IT	{240B209E-5516-4EC1-A41F-3122C8402996}
39	Thu Mar 19 2009 00:00:00 GMT+0100 (CET)	380204	Trentino-Alto Adige	IT	{655037E4-E8EA-4972-B364-80E5086FDF60}
40	Sat Jan 01 2005 00:00:00 GMT+0100 (CET)	0	No Data	N_A	{96437C73-FA97-42EC-A9DB-DFD719A32AB5}
42	Wed Apr 20 2011 00:00:00 GMT+0200 (CEST)	380205	Veneto	IT	{7A5C540D-E623-4EE1-B4D3-654C34633D32}
361	Thu Apr 03 2014 00:00:00 GMT+0200 (CEST)	250026	Bourgogne	FR	{D40E5E3E-086A-41C1-9A51-3AE3621E3EE6}